,k,silhouette,calinski_harabasz,davies_bouldin,inertia,cluster_size,cluster_sum_dist,cluster_mean_dist,time
0,10,0.015288271155814466,102.7232777838648,6.405135014255666,19137.304209438178,274,205.34519941467136,0.861467872513411,209.62022423744202
1,10,0.015288271155814466,102.7232777838648,6.405135014255666,19137.304209438178,931,810.1782588213463,0.9320584882654269,209.62022423744202
2,10,0.015288271155814466,102.7232777838648,6.405135014255666,19137.304209438178,11074,10873.63605491491,0.9908276518674789,209.62022423744202
3,10,0.015288271155814466,102.7232777838648,6.405135014255666,19137.304209438178,898,798.9828850123387,0.942542278849158,209.62022423744202
4,10,0.015288271155814466,102.7232777838648,6.405135014255666,19137.304209438178,639,500.3793537840535,0.8819943364565461,209.62022423744202
5,10,0.015288271155814466,102.7232777838648,6.405135014255666,19137.304209438178,1928,1820.2570269186483,0.9714869298667923,209.62022423744202
6,10,0.015288271155814466,102.7232777838648,6.405135014255666,19137.304209438178,1992,1837.5797118646194,0.9601217585117183,209.62022423744202
7,10,0.015288271155814466,102.7232777838648,6.405135014255666,19137.304209438178,1035,881.2612803297935,0.921418586842719,209.62022423744202
8,10,0.015288271155814466,102.7232777838648,6.405135014255666,19137.304209438178,1120,966.0980065075701,0.9274501530804206,209.62022423744202
9,10,0.015288271155814466,102.7232777838648,6.405135014255666,19137.304209438178,535,443.5864318702729,0.9089007446497035,209.62022423744202
10,15,0.01787466093008159,86.20194767788368,6.277483135418047,18887.18036673456,678,617.602724090042,0.9539514127513161,298.94865012168884
11,15,0.01787466093008159,86.20194767788368,6.277483135418047,18887.18036673456,1840,1744.2500731682849,0.9735041569721041,298.94865012168884
12,15,0.01787466093008159,86.20194767788368,6.277483135418047,18887.18036673456,499,410.34326592576923,0.9050722806415429,298.94865012168884
13,15,0.01787466093008159,86.20194767788368,6.277483135418047,18887.18036673456,915,794.5955092996185,0.931077937315493,298.94865012168884
14,15,0.01787466093008159,86.20194767788368,6.277483135418047,18887.18036673456,751,618.2575120246114,0.9055700310774589,298.94865012168884
15,15,0.01787466093008159,86.20194767788368,6.277483135418047,18887.18036673456,623,485.05976898594804,0.8794268920241516,298.94865012168884
16,15,0.01787466093008159,86.20194767788368,6.277483135418047,18887.18036673456,821,724.8374788735291,0.9388541335082415,298.94865012168884
17,15,0.01787466093008159,86.20194767788368,6.277483135418047,18887.18036673456,1033,879.1511158465687,0.9212066161071801,298.94865012168884
18,15,0.01787466093008159,86.20194767788368,6.277483135418047,18887.18036673456,9310,9138.290735570978,0.9906368387196636,298.94865012168884
19,15,0.01787466093008159,86.20194767788368,6.277483135418047,18887.18036673456,943,857.2212371083197,0.9529792400722038,298.94865012168884
20,15,0.01787466093008159,86.20194767788368,6.277483135418047,18887.18036673456,710,608.2104201501211,0.9244401597103268,298.94865012168884
21,15,0.01787466093008159,86.20194767788368,6.277483135418047,18887.18036673456,546,476.2906811737504,0.9332095936294031,298.94865012168884
22,15,0.01787466093008159,86.20194767788368,6.277483135418047,18887.18036673456,610,522.5558277168105,0.9241591777032169,298.94865012168884
23,15,0.01787466093008159,86.20194767788368,6.277483135418047,18887.18036673456,879,810.819059751125,0.9600862688388728,298.94865012168884
24,15,0.01787466093008159,86.20194767788368,6.277483135418047,18887.18036673456,268,199.69495704899947,0.8589140109125507,298.94865012168884
25,20,0.018775654840433916,74.70875854649518,6.4001398155838505,18702.912252882863,598,540.5760227724662,0.9502329856420297,332.21737360954285
26,20,0.018775654840433916,74.70875854649518,6.4001398155838505,18702.912252882863,545,460.88395482613623,0.9180552222806035,332.21737360954285
27,20,0.018775654840433916,74.70875854649518,6.4001398155838505,18702.912252882863,2076,1977.4601141296312,0.975875785019371,332.21737360954285
28,20,0.018775654840433916,74.70875854649518,6.4001398155838505,18702.912252882863,729,597.0764921688148,0.9032257644805206,332.21737360954285
29,20,0.018775654840433916,74.70875854649518,6.4001398155838505,18702.912252882863,911,833.9349907251147,0.9563254100830447,332.21737360954285
30,20,0.018775654840433916,74.70875854649518,6.4001398155838505,18702.912252882863,651,552.1591192248184,0.9197832547302494,332.21737360954285
31,20,0.018775654840433916,74.70875854649518,6.4001398155838505,18702.912252882863,456,365.3200506478537,0.8933288323901732,332.21737360954285
32,20,0.018775654840433916,74.70875854649518,6.4001398155838505,18702.912252882863,1203,1138.2728384414281,0.9726183439166272,332.21737360954285
33,20,0.018775654840433916,74.70875854649518,6.4001398155838505,18702.912252882863,6989,6865.358286096917,0.990989566115013,332.21737360954285
34,20,0.018775654840433916,74.70875854649518,6.4001398155838505,18702.912252882863,584,511.2279823560564,0.9349004810324631,332.21737360954285
35,20,0.018775654840433916,74.70875854649518,6.4001398155838505,18702.912252882863,608,470.6138783977117,0.8768339027387971,332.21737360954285
36,20,0.018775654840433916,74.70875854649518,6.4001398155838505,18702.912252882863,500,433.2225257775168,0.9300123318521792,332.21737360954285
37,20,0.018775654840433916,74.70875854649518,6.4001398155838505,18702.912252882863,658,584.0458034576468,0.941392124642488,332.21737360954285
38,20,0.018775654840433916,74.70875854649518,6.4001398155838505,18702.912252882863,301,266.5121630517495,0.9400612047384038,332.21737360954285
39,20,0.018775654840433916,74.70875854649518,6.4001398155838505,18702.912252882863,969,817.8732420543545,0.9173248703806635,332.21737360954285
40,20,0.018775654840433916,74.70875854649518,6.4001398155838505,18702.912252882863,483,395.32518798733116,0.90292046320793,332.21737360954285
41,20,0.018775654840433916,74.70875854649518,6.4001398155838505,18702.912252882863,750,657.701036041653,0.9356325431516855,332.21737360954285
