,Algorithm,Run Time
0,Full Data,2.4645230770111084
1000,PCA,2.0157341957092285
2000,ICA,2.323087215423584
3000,FA,2.1940290927886963
4000,RP,1.9946141242980957
5000,KMeans,2.0031633377075195
6000,GMM,1.9450416564941406
