,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_n_estimators,param_subsample,param_validation_fraction,param_warm_start,params,split0_test_ROC,split1_test_ROC,split2_test_ROC,split3_test_ROC,split4_test_ROC,mean_test_ROC,std_test_ROC,rank_test_ROC,split0_train_ROC,split1_train_ROC,split2_train_ROC,split3_train_ROC,split4_train_ROC,mean_train_ROC,std_train_ROC,split0_test_Loss,split1_test_Loss,split2_test_Loss,split3_test_Loss,split4_test_Loss,mean_test_Loss,std_test_Loss,rank_test_Loss,split0_train_Loss,split1_train_Loss,split2_train_Loss,split3_train_Loss,split4_train_Loss,mean_train_Loss,std_train_Loss
0,0.14280052185058595,0.011889414016133604,0.008602571487426759,0.0013572049132365162,0.1,50,0.2,0.1,True,"{'learning_rate': 0.1, 'n_estimators': 50, 'subsample': 0.2, 'validation_fraction': 0.1, 'warm_start': True}",0.8289384719405003,0.8101757944557133,0.8193035835023665,0.8321501014198782,0.858181203515889,0.8297498309668695,0.016168052066764922,425,0.9700117889773062,0.977506210264831,0.9724537914193087,0.9606542882404951,0.9706328154604017,0.9702517788724686,0.005473394642173644,-0.15292123989755135,-0.16574148118607163,-0.16595662824851906,-0.14870225460858402,-0.14319683017444995,-0.1553036868230352,0.009146186644978979,177,-0.06891661332404242,-0.06453629758422925,-0.06860023531680884,-0.07750102201063712,-0.07093376871642851,-0.07009758739042922,0.004244402211667502
1,0.16100630760192872,0.008308309749237167,0.007594871520996094,0.0016250825150731303,0.1,50,0.2,0.1,False,"{'learning_rate': 0.1, 'n_estimators': 50, 'subsample': 0.2, 'validation_fraction': 0.1, 'warm_start': False}",0.8289384719405003,0.8101757944557133,0.8193035835023665,0.8321501014198782,0.858181203515889,0.8297498309668695,0.016168052066764922,425,0.9700117889773062,0.977506210264831,0.9724537914193087,0.9606542882404951,0.9706328154604017,0.9702517788724686,0.005473394642173644,-0.15292123989755135,-0.16574148118607163,-0.16595662824851906,-0.14870225460858402,-0.14319683017444995,-0.1553036868230352,0.009146186644978979,177,-0.06891661332404242,-0.06453629758422925,-0.06860023531680884,-0.07750102201063712,-0.07093376871642851,-0.07009758739042922,0.004244402211667502
2,0.16020078659057618,0.0036005738250897462,0.008999300003051759,0.0018956468407493872,0.1,50,0.2,0.2,True,"{'learning_rate': 0.1, 'n_estimators': 50, 'subsample': 0.2, 'validation_fraction': 0.2, 'warm_start': True}",0.8289384719405003,0.8101757944557133,0.8193035835023665,0.8321501014198782,0.858181203515889,0.8297498309668695,0.016168052066764922,425,0.9700117889773062,0.977506210264831,0.9724537914193087,0.9606542882404951,0.9706328154604017,0.9702517788724686,0.005473394642173644,-0.15292123989755135,-0.16574148118607163,-0.16595662824851906,-0.14870225460858402,-0.14319683017444995,-0.1553036868230352,0.009146186644978979,177,-0.06891661332404242,-0.06453629758422925,-0.06860023531680884,-0.07750102201063712,-0.07093376871642851,-0.07009758739042922,0.004244402211667502
3,0.1544003963470459,0.002245422802953154,0.008799266815185548,0.002135855742992513,0.1,50,0.2,0.2,False,"{'learning_rate': 0.1, 'n_estimators': 50, 'subsample': 0.2, 'validation_fraction': 0.2, 'warm_start': False}",0.8289384719405003,0.8101757944557133,0.8193035835023665,0.8321501014198782,0.858181203515889,0.8297498309668695,0.016168052066764922,425,0.9700117889773062,0.977506210264831,0.9724537914193087,0.9606542882404951,0.9706328154604017,0.9702517788724686,0.005473394642173644,-0.15292123989755135,-0.16574148118607163,-0.16595662824851906,-0.14870225460858402,-0.14319683017444995,-0.1553036868230352,0.009146186644978979,177,-0.06891661332404242,-0.06453629758422925,-0.06860023531680884,-0.07750102201063712,-0.07093376871642851,-0.07009758739042922,0.004244402211667502
4,0.16190648078918457,0.0046457233792856845,0.0079986572265625,0.0010942349288725823,0.1,50,0.2,0.3,True,"{'learning_rate': 0.1, 'n_estimators': 50, 'subsample': 0.2, 'validation_fraction': 0.3, 'warm_start': True}",0.8289384719405003,0.8101757944557133,0.8193035835023665,0.8321501014198782,0.858181203515889,0.8297498309668695,0.016168052066764922,425,0.9700117889773062,0.977506210264831,0.9724537914193087,0.9606542882404951,0.9706328154604017,0.9702517788724686,0.005473394642173644,-0.15292123989755135,-0.16574148118607163,-0.16595662824851906,-0.14870225460858402,-0.14319683017444995,-0.1553036868230352,0.009146186644978979,177,-0.06891661332404242,-0.06453629758422925,-0.06860023531680884,-0.07750102201063712,-0.07093376871642851,-0.07009758739042922,0.004244402211667502
5,0.18256945610046388,0.022256749664047757,0.008600759506225585,0.0016260004979852178,0.1,50,0.2,0.3,False,"{'learning_rate': 0.1, 'n_estimators': 50, 'subsample': 0.2, 'validation_fraction': 0.3, 'warm_start': False}",0.8289384719405003,0.8101757944557133,0.8193035835023665,0.8321501014198782,0.858181203515889,0.8297498309668695,0.016168052066764922,425,0.9700117889773062,0.977506210264831,0.9724537914193087,0.9606542882404951,0.9706328154604017,0.9702517788724686,0.005473394642173644,-0.15292123989755135,-0.16574148118607163,-0.16595662824851906,-0.14870225460858402,-0.14319683017444995,-0.1553036868230352,0.009146186644978979,177,-0.06891661332404242,-0.06453629758422925,-0.06860023531680884,-0.07750102201063712,-0.07093376871642851,-0.07009758739042922,0.004244402211667502
6,0.16759977340698243,0.01746513344436167,0.008599138259887696,0.0020588862348755324,0.1,50,0.2,0.4,True,"{'learning_rate': 0.1, 'n_estimators': 50, 'subsample': 0.2, 'validation_fraction': 0.4, 'warm_start': True}",0.8289384719405003,0.8101757944557133,0.8193035835023665,0.8321501014198782,0.858181203515889,0.8297498309668695,0.016168052066764922,425,0.9700117889773062,0.977506210264831,0.9724537914193087,0.9606542882404951,0.9706328154604017,0.9702517788724686,0.005473394642173644,-0.15292123989755135,-0.16574148118607163,-0.16595662824851906,-0.14870225460858402,-0.14319683017444995,-0.1553036868230352,0.009146186644978979,177,-0.06891661332404242,-0.06453629758422925,-0.06860023531680884,-0.07750102201063712,-0.07093376871642851,-0.07009758739042922,0.004244402211667502
7,0.17200050354003907,0.020088686873553557,0.00800008773803711,0.001674367598358882,0.1,50,0.2,0.4,False,"{'learning_rate': 0.1, 'n_estimators': 50, 'subsample': 0.2, 'validation_fraction': 0.4, 'warm_start': False}",0.8289384719405003,0.8101757944557133,0.8193035835023665,0.8321501014198782,0.858181203515889,0.8297498309668695,0.016168052066764922,425,0.9700117889773062,0.977506210264831,0.9724537914193087,0.9606542882404951,0.9706328154604017,0.9702517788724686,0.005473394642173644,-0.15292123989755135,-0.16574148118607163,-0.16595662824851906,-0.14870225460858402,-0.14319683017444995,-0.1553036868230352,0.009146186644978979,177,-0.06891661332404242,-0.06453629758422925,-0.06860023531680884,-0.07750102201063712,-0.07093376871642851,-0.07009758739042922,0.004244402211667502
8,0.2517988204956055,0.04665807525463699,0.007601547241210938,0.0019614603760623964,0.1,50,0.4,0.1,True,"{'learning_rate': 0.1, 'n_estimators': 50, 'subsample': 0.4, 'validation_fraction': 0.1, 'warm_start': True}",0.8505747126436782,0.850236646382691,0.8069641649763354,0.8691683569979716,0.8615618661257607,0.8477011494252874,0.0215738196933447,97,0.9857163908888047,0.9838427855669235,0.9835901646246474,0.9805797650625235,0.9839690960380616,0.9835396404361921,0.0016599991890649279,-0.14324075902600683,-0.1455561657039878,-0.1663159708356411,-0.13158062227196088,-0.14531408009976085,-0.1464015195874715,0.011208317633858322,65,-0.05382764933841472,-0.05513918804255641,-0.05699492052105369,-0.05801682662876044,-0.057118096002905114,-0.056219336106738085,0.0015183647881702302
9,0.208512544631958,0.017526828536457952,0.007197189331054688,0.0009804716486834272,0.1,50,0.4,0.1,False,"{'learning_rate': 0.1, 'n_estimators': 50, 'subsample': 0.4, 'validation_fraction': 0.1, 'warm_start': False}",0.8505747126436782,0.850236646382691,0.8069641649763354,0.8691683569979716,0.8615618661257607,0.8477011494252874,0.0215738196933447,97,0.9857163908888047,0.9838427855669235,0.9835901646246474,0.9805797650625235,0.9839690960380616,0.9835396404361921,0.0016599991890649279,-0.14324075902600683,-0.1455561657039878,-0.1663159708356411,-0.13158062227196088,-0.14531408009976085,-0.1464015195874715,0.011208317633858322,65,-0.05382764933841472,-0.05513918804255641,-0.05699492052105369,-0.05801682662876044,-0.057118096002905114,-0.056219336106738085,0.0015183647881702302
